_id,date,amount,category,description
6693b32adcad12cb9ec4e49b,2024-01-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e49c,2024-01-10,200,Dining,Dinner at a restaurant
6693b32adcad12cb9ec4e49d,2024-01-20,100,Transport,Monthly bus pass
6693b32adcad12cb9ec4e49e,2024-02-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e49f,2024-02-10,50,Entertainment,Movie tickets
6693b32adcad12cb9ec4e4a0,2024-02-15,300,Shopping,New clothes
6693b32adcad12cb9ec4e4a1,2024-03-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4a2,2024-03-12,120,Utilities,Electricity bill
6693b32adcad12cb9ec4e4a3,2024-03-20,100,Transport,Monthly bus pass
6693b32adcad12cb9ec4e4a4,2024-04-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4a5,2024-04-10,250,Dining,Family dinner
6693b32adcad12cb9ec4e4a6,2024-04-18,75,Entertainment,Concert tickets
6693b32adcad12cb9ec4e4a7,2024-05-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4a8,2024-05-10,60,Utilities,Water bill
6693b32adcad12cb9ec4e4a9,2024-05-20,100,Transport,Monthly bus pass
6693b32adcad12cb9ec4e4aa,2024-06-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4ab,2024-06-10,80,Dining,Lunch with friends
6693b32adcad12cb9ec4e4ac,2024-06-15,120,Utilities,Internet bill
6693b32adcad12cb9ec4e4ad,2024-07-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4ae,2024-07-12,90,Entertainment,Streaming subscription
6693b32adcad12cb9ec4e4af,2024-07-20,100,Transport,Monthly bus pass
6693b32adcad12cb9ec4e4b0,2024-08-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4b1,2024-08-10,200,Dining,Dinner at a restaurant
6693b32adcad12cb9ec4e4b2,2024-08-20,100,Transport,Monthly bus pass
6693b32adcad12cb9ec4e4b3,2024-09-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4b4,2024-09-10,50,Entertainment,Movie tickets
6693b32adcad12cb9ec4e4b5,2024-09-15,300,Shopping,New clothes
6693b32adcad12cb9ec4e4b6,2024-10-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4b7,2024-10-12,120,Utilities,Electricity bill
6693b32adcad12cb9ec4e4b8,2024-10-20,100,Transport,Monthly bus pass
6693b32adcad12cb9ec4e4b9,2024-11-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4ba,2024-11-10,250,Dining,Family dinner
6693b32adcad12cb9ec4e4bb,2024-11-18,75,Entertainment,Concert tickets
6693b32adcad12cb9ec4e4bc,2024-12-05,150,Groceries,Weekly grocery shopping
6693b32adcad12cb9ec4e4bd,2024-12-10,60,Utilities,Water bill
6693b32adcad12cb9ec4e4be,2024-12-20,100,Transport,Monthly bus pass
